PktID,Time,DecoyNode,Water,Reward,Enemy0Deceived,Enemy1Deceived,Suspicion_E0,Suspicion_E1
4,2,0,CLEAR,15,0,0,0,0
11,3.4,1,CLEAR,15,0,0,0,0
13,3.8,2,MURKY,15,0,0,0,0
16,4.4,1,CLEAR,15,1,0,0.2,1
18,4.8,2,MURKY,15,1,0,0,1
23,5.8,2,MURKY,15,1,0,0,2
33,7.8,2,MURKY,15,1,0,0,3
36,8.4,1,CLEAR,18,1,1,0.4,1.2
38,8.8,2,MURKY,15,1,1,0,3.2
40,9.2,3,MURKY,15,1,1,0,0.2
45,10,3,MURKY,15,1,1,0,1.2
46,10,1,CLEAR,18,1,1,0.6,2.2
51,11,1,CLEAR,18,1,1,1.6,2.4
53,12,2,MURKY,15,1,1,0,4.2
56,12,1,CLEAR,18,1,1,2.6,3.4
58,13,2,MURKY,15,1,1,0,5.2
61,13,1,CLEAR,18,1,1,2.8,3.6
62,14,4,CLEAR,15,1,1,0,0
63,14,2,MURKY,2,1,1,0,5.2
66,14,1,CLEAR,18,1,1,3,4.6
74,16,0,CLEAR,15,1,1,0.2,0
75,16,3,MURKY,15,1,1,0,2.2
76,16,1,CLEAR,18,1,1,3.2,5.6
77,17,4,CLEAR,15,1,1,0,0
81,17,1,CLEAR,2,1,1,3.4,5.6
85,18,3,MURKY,15,1,1,0,2.4
86,18,1,CLEAR,2,1,1,3.6,5.6
90,19,3,MURKY,15,1,1,0,2.6
92,20,4,CLEAR,15,1,1,0,0
93,20,2,MURKY,2,1,1,0,5.2
96,20,1,CLEAR,2,1,1,3.8,5.6
99,21,0,CLEAR,15,1,1,0.4,0.2
100,21,3,MURKY,15,1,1,0,2.8
103,22,2,MURKY,2,1,1,0,5.2
108,23,2,MURKY,2,1,1,0,5.2
109,23,0,CLEAR,15,1,1,0.6,1.2
110,23,3,MURKY,15,1,1,0,3.8
111,23,1,CLEAR,2,1,1,4.8,5.6
113,24,2,MURKY,2,1,1,0,5.2
115,24,3,MURKY,15,1,1,0,4
118,25,2,MURKY,2,1,1,0,5.2
120,25,3,MURKY,15,1,1,0,4.2
121,25,1,CLEAR,2,1,1,5.8,5.6
125,26,3,MURKY,15,1,1,0,5.2
132,28,4,CLEAR,15,1,1,0,0
133,28,2,MURKY,2,1,1,0,5.2
135,28,3,MURKY,2,1,1,0,5.2
136,28,1,CLEAR,2,1,1,5.8,5.6
138,29,2,MURKY,2,1,1,0,5.2
141,29,1,CLEAR,2,1,1,5.8,5.6
145,30,3,MURKY,2,1,1,0,5.2
146,30,1,CLEAR,2,1,1,5.8,5.6
151,31,1,CLEAR,2,1,1,5.8,5.6
155,32,3,MURKY,2,1,1,0,5.2
156,32,1,CLEAR,2,1,1,5.8,5.6
158,33,2,MURKY,2,1,1,0,5.2
163,34,2,MURKY,2,1,1,0,5.2
165,34,3,MURKY,2,1,1,0,5.2
166,34,1,CLEAR,2,1,1,5.8,5.6
168,35,2,MURKY,2,1,1,0,5.2
169,35,0,CLEAR,15,1,1,0.8,2.2
170,35,3,MURKY,2,1,1,0,5.2
171,35,1,CLEAR,2,1,1,5.8,5.6
175,36,3,MURKY,2,1,1,0,5.2
176,36,1,CLEAR,2,1,1,5.8,5.6
177,37,4,CLEAR,15,1,1,0,0
178,37,2,MURKY,2,1,1,0,5.2
180,37,3,MURKY,2,1,1,0,5.2
181,37,1,CLEAR,2,1,1,5.8,5.6
185,38,3,MURKY,2,1,1,0,5.2
186,38,1,CLEAR,2,1,1,5.8,5.6
195,40,3,MURKY,2,1,1,0,5.2
197,41,4,CLEAR,15,1,1,0,0
200,41,3,MURKY,2,1,1,0,5.2
204,42,0,CLEAR,15,1,1,1,3.2
205,42,3,MURKY,2,1,1,0,5.2
206,42,1,CLEAR,2,1,1,5.8,5.6
208,43,2,MURKY,2,1,1,0,5.2
209,43,0,CLEAR,15,1,1,1.2,4.2
215,44,3,MURKY,2,1,1,0,5.2
220,45,3,MURKY,2,1,1,0,5.2
223,46,2,MURKY,2,1,1,0,5.2
225,46,3,MURKY,2,1,1,0,5.2
229,47,0,CLEAR,15,1,1,2.2,5.2
230,47,3,MURKY,2,1,1,0,5.2
235,48,3,MURKY,2,1,1,0,5.2
236,48,1,CLEAR,2,1,1,5.8,5.6
238,49,2,MURKY,2,1,1,0,5.2
240,49,3,MURKY,2,1,1,0,5.2
242,50,4,CLEAR,15,1,1,0,0
250,51,3,MURKY,15,1,1,0,1.2
255,52,3,MURKY,18,1,1,0,1.4
256,52,1,MURKY,2,1,1,5.8,1.3
260,53,3,MURKY,18,1,1,0,1.6
265,54,3,MURKY,18,1,1,0,2.6
268,55,2,MURKY,15,1,1,0,2
269,55,0,MURKY,15,1,1,2.4,1.2
270,55,3,MURKY,18,1,1,0,2.8
273,56,2,MURKY,15,1,1,0,2.2
275,56,3,MURKY,18,1,1,0,3
276,56,1,MURKY,2,1,1,5.8,1.5
278,57,2,MURKY,15,1,1,0,2.4
280,57,3,MURKY,18,1,1,0,4
283,58,2,MURKY,15,1,1,0,2.6
285,58,3,MURKY,18,1,1,0,4.2
288,59,2,MURKY,15,1,1,0,2.8
289,59,0,MURKY,15,1,1,2.6,2.2
290,59,3,MURKY,18,1,1,0,5.2
293,60,2,MURKY,15,1,1,0,3
295,60,3,MURKY,2,1,1,0,5.2
298,61,2,MURKY,15,1,1,0,3.2
299,61,0,MURKY,15,1,1,3.6,3.2
300,61,3,MURKY,2,1,1,0,5.2
303,62,2,MURKY,15,1,1,0,3.4
304,62,0,MURKY,15,1,1,3.8,4.2
305,62,3,MURKY,2,1,1,0,5.2
308,63,2,MURKY,15,1,1,0,3.6
309,63,0,MURKY,15,1,1,4.8,5.2
310,63,3,MURKY,2,1,1,0,5.2
313,64,2,MURKY,15,1,1,0,4.6
314,64,0,MURKY,2,1,1,5,5.2
315,64,3,MURKY,2,1,1,0,5.2
319,65,0,MURKY,2,1,1,5,5.2
320,65,3,MURKY,2,1,1,0,5.2
323,66,2,MURKY,15,1,1,0,4.8
324,66,0,MURKY,2,1,1,5,5.2
325,66,3,MURKY,2,1,1,0,5.2
328,67,2,MURKY,15,1,1,0,5.8
329,67,0,MURKY,2,1,1,5,5.2
330,67,3,MURKY,2,1,1,0,5.2
333,68,2,MURKY,2,1,1,0,5.8
334,68,0,MURKY,2,1,1,5,5.2
335,68,3,MURKY,2,1,1,0,5.2
337,69,4,CLEAR,15,1,1,0,0
338,69,2,MURKY,2,1,1,0,5.8
339,69,0,MURKY,2,1,1,5,5.2
340,69,3,MURKY,2,1,1,0,5.2
343,70,2,MURKY,2,1,1,0,5.8
344,70,0,MURKY,2,1,1,5,5.2
345,70,3,MURKY,2,1,1,0,5.2
348,71,2,MURKY,2,1,1,0,5.8
349,71,0,MURKY,2,1,1,5,5.2
353,72,2,MURKY,2,1,1,0,5.8
355,72,3,MURKY,2,1,1,0,5.2
356,72,1,MURKY,2,1,1,5.8,2.5
360,73,3,MURKY,2,1,1,0,5.2
363,74,2,MURKY,2,1,1,0,5.8
364,74,0,MURKY,2,1,1,5,5.2
365,74,3,MURKY,2,1,1,0,5.2
368,75,2,MURKY,2,1,1,0,5.8
370,75,3,MURKY,2,1,1,0,5.2
373,76,2,MURKY,2,1,1,0,5.8
375,76,3,MURKY,2,1,1,0,5.2
378,77,2,MURKY,2,1,1,0,5.8
381,77,1,MURKY,2,1,1,5.8,2.7
383,78,2,MURKY,2,1,1,0,5.8
385,78,3,MURKY,2,1,1,0,5.2
388,79,2,MURKY,2,1,1,0,5.8
390,79,3,MURKY,2,1,1,0,5.2
394,80,0,MURKY,2,1,1,5,5.2
