PktID,Time,Src,Dst,Mode,Dist,OptLQ,AcuLQ,Water,Reward,Energy,EnemyNearby
1,1,0,1,OPTICAL,75,0.472,0.846,CLEAR,14.7,5e+03,1
2,1.4,1,2,ACOUSTIC,202,0.133,0.639,CLEAR,3.39,5e+03,1
3,1.8,2,3,ACOUSTIC,90,0.0672,0.771,MURKY,4.71,5e+03,1
4,2,0,1,DECOY,75,0.472,0.846,CLEAR,15,5e+03,1
5,2.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,5e+03,1
6,2.4,1,2,ACOUSTIC,202,0.133,0.639,CLEAR,3.39,5e+03,1
7,2.6,4,5,OPTICAL,85,0.427,0.828,CLEAR,14.3,5e+03,1
8,2.8,2,3,ACOUSTIC,90,0.0672,0.771,MURKY,4.71,5e+03,1
9,3,0,1,ACOUSTIC,75,0.472,0.846,CLEAR,3.46,4.99e+03,1
10,3.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,5e+03,1
11,3.4,1,2,DECOY,202,0.133,0.639,CLEAR,15,4.99e+03,1
12,3.6,4,5,OPTICAL,85,0.427,0.828,CLEAR,14.3,5e+03,1
13,3.8,2,3,DECOY,90,0.0672,0.771,MURKY,15,4.99e+03,1
14,4,0,1,OPTICAL,75,0.472,0.846,CLEAR,14.7,4.99e+03,1
15,4.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,4.99e+03,1
16,4.4,1,2,DECOY,202,0.133,0.639,CLEAR,15,4.99e+03,1
17,4.6,4,5,OPTICAL,85,0.427,0.828,CLEAR,14.3,5e+03,1
18,4.8,2,3,DECOY,90,0.0672,0.771,MURKY,15,4.99e+03,1
19,5,0,1,OPTICAL,75,0.472,0.846,CLEAR,14.7,4.99e+03,1
20,5.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,4.99e+03,1
21,5.4,1,2,ACOUSTIC,202,0.133,0.639,CLEAR,3.39,4.99e+03,1
22,5.6,4,5,OPTICAL,85,0.427,0.828,CLEAR,14.3,5e+03,1
23,5.8,2,3,DECOY,90,0.0672,0.771,MURKY,15,4.99e+03,1
24,6,0,1,OPTICAL,75,0.472,0.846,CLEAR,14.7,4.99e+03,1
25,6.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,4.99e+03,1
26,6.4,1,2,ACOUSTIC,202,0.133,0.639,CLEAR,3.39,4.99e+03,1
27,6.6,4,5,ACOUSTIC,85,0.427,0.828,CLEAR,3.28,5e+03,1
28,6.8,2,3,ACOUSTIC,90,0.0672,0.771,MURKY,4.71,4.98e+03,1
29,7,0,1,OPTICAL,75,0.472,0.846,CLEAR,14.7,4.99e+03,1
30,7.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,4.99e+03,1
31,7.4,1,2,ACOUSTIC,202,0.133,0.639,CLEAR,3.39,4.98e+03,1
32,7.6,4,5,OPTICAL,85,0.427,0.828,CLEAR,14.3,5e+03,1
33,7.8,2,3,DECOY,90,0.0672,0.771,MURKY,15,4.98e+03,1
34,8,0,1,ACOUSTIC,75,0.472,0.846,CLEAR,3.46,4.99e+03,1
35,8.2,3,4,ACOUSTIC,150,0.0111,0.648,MURKY,3.48,4.99e+03,1
36,8.4,1,2,DECOY,202,0.133,0.639,CLEAR,18,4.98e+03,1
37,8.6,4,5,OPTICAL,85,0.427,0.828,CLEAR,14.3,5e+03,1
38,8.8,2,3,DECOY,90,0.0672,0.771,MURKY,15,4.98e+03,1
39,9,0,1,OPTICAL,75,0.472,0.846,CLEAR,14.7,4.99e+03,1
40,9.2,3,4,DECOY,150,0.0111,0.648,MURKY,15,4.98e+03,1
41,9.4,1,2,ACOUSTIC,202,0.133,0.639,CLEAR,3.39,4.98e+03,1
42,9.6,4,5,ACOUSTIC,85,0.427,0.828,CLEAR,3.28,4.99e+03,1
43,9.8,2,3,ACOUSTIC,90,0.0672,0.771,MURKY,4.71,4.98e+03,1
44,10,0,1,ACOUSTIC,75,0.472,0.846,CLEAR,3.46,4.99e+03,1
