PktID,Time,Src,Dst,DistBucket,Water,Qopt,Qacu,Qdecoy,Action,Epsilon
1,1,0,1,1,CLEAR,3.329,2,0.5,OPTICAL,0.9
2,1.4,1,2,2,CLEAR,1,2.478,0.5,ACOUSTIC,0.9
3,1.8,2,3,1,MURKY,1,2.677,0.5,ACOUSTIC,0.9
4,2,0,1,1,CLEAR,3.329,2,2.945,DECOY,0.9
5,2.2,3,4,2,MURKY,1,2.493,0.5,ACOUSTIC,0.9
6,2.4,1,2,2,CLEAR,1,2.885,0.5,ACOUSTIC,0.8865
7,2.6,4,5,1,CLEAR,3.666,2,0.5,OPTICAL,0.8865
8,2.8,2,3,1,MURKY,1,3.318,0.5,ACOUSTIC,0.8865
9,3,0,1,1,CLEAR,3.329,2.49,2.945,ACOUSTIC,0.8865
10,3.2,3,4,2,MURKY,1,3.136,0.5,ACOUSTIC,0.8865
11,3.4,1,2,2,CLEAR,1,2.885,2.945,DECOY,0.8732
12,3.6,4,5,1,CLEAR,5.932,2,0.5,OPTICAL,0.8732
13,3.8,2,3,1,MURKY,1,3.318,3.098,DECOY,0.8732
14,4,0,1,1,CLEAR,5.308,2.49,2.945,OPTICAL,0.8732
15,4.2,3,4,2,MURKY,1,3.989,0.5,ACOUSTIC,0.8732
16,4.4,1,2,2,CLEAR,1,2.885,5.023,DECOY,0.8601
17,4.6,4,5,1,CLEAR,7.859,2,0.5,OPTICAL,0.8601
18,4.8,2,3,1,MURKY,1,3.318,5.422,DECOY,0.8601
19,5,0,1,1,CLEAR,6.99,2.49,2.945,OPTICAL,0.8601
20,5.2,3,4,2,MURKY,1,4.974,0.5,ACOUSTIC,0.8601
21,5.4,1,2,2,CLEAR,1,3.231,5.023,ACOUSTIC,0.8472
22,5.6,4,5,1,CLEAR,9.496,2,0.5,OPTICAL,0.8472
23,5.8,2,3,1,MURKY,1,3.318,7.53,DECOY,0.8472
24,6,0,1,1,CLEAR,8.42,2.49,2.945,OPTICAL,0.8472
25,6.2,3,4,2,MURKY,1,6.032,0.5,ACOUSTIC,0.8472
26,6.4,1,2,2,CLEAR,1,3.524,5.023,ACOUSTIC,0.8345
27,6.6,4,5,1,CLEAR,9.496,2.867,0.5,ACOUSTIC,0.8345
28,6.8,2,3,1,MURKY,1,4.341,7.53,ACOUSTIC,0.8345
29,7,0,1,1,CLEAR,9.636,2.49,2.945,OPTICAL,0.8345
30,7.2,3,4,2,MURKY,1,6.932,0.5,ACOUSTIC,0.8345
31,7.4,1,2,2,CLEAR,1,3.774,5.023,ACOUSTIC,0.822
32,7.6,4,5,1,CLEAR,10.89,2.867,0.5,OPTICAL,0.822
33,7.8,2,3,1,MURKY,1,4.341,9.587,DECOY,0.822
34,8,0,1,1,CLEAR,9.636,2.906,2.945,ACOUSTIC,0.822
